Periodo;Tipo Producto;Continente;Pais;Ingresos;Gastos
2017;TV; Europa;Suiza;13689,14;8619,09
2017;Accesorios; America;Chile;42928,92;38548,42
2017;Aplicaciones; America;Chile;72120,58;47251,42
2017;Celulares; America;Chile;187513,51;164646,01
2017;Musica; America;Chile;93383,22;57466,60
2017;PC; America;Chile;404123,95;345555,26
2017;Tablets; America;Chile;75610,29;60488,23
2017;TV; America;Chile;33389,16;21464,46
2017;Accesorios; Asia;China;3076128,82;2906941,73
2017;Aplicaciones; Asia;China;4370407,79;2676874,77
2017;Celulares; Asia;China;10605115,42;9215479,60
2017;Musica; Asia;China;5766279,47;3422161,51
2017;PC; Asia;China;17039679,81;14859178,41
2017;Tablets; Asia;China;4460386,78;4119140,32
2017;TV; Asia;China;1951777,99;1158337,81
2017;Accesorios; africa;Camerun;55838,49;50198,24
2017;Aplicaciones; africa;Camerun;80186,67;53457,78
2017;Celulares; africa;Camerun;213831,11;176316,88
2017;Musica; africa;Camerun;119931,36;71958,82
2017;PC; africa;Camerun;540866,92;460140,52
2017;Tablets; africa;Camerun;87016,44;75715,61
2017;TV; africa;Camerun;38851,00;21959,26
2017;Accesorios; America;Colombia;110701,60;86636,03
2017;Aplicaciones; America;Colombia;208135,58;113528,50
2017;Celulares; America;Colombia;463101,68;389593,47
2017;Musica; America;Colombia;237488,04;149529,51
2017;PC; America;Colombia;992360,73;837304,37
2017;Tablets; America;Colombia;184625,25;154358,82
2017;TV; America;Colombia;84584,78;56389,85
2017;Accesorios; America;Costa Rica;10789,54;9577,24
2017;Aplicaciones; America;Costa Rica;16051,93;10701,29
2017;Celulares; America;Costa Rica;35841,98;31814,79
2017;Musica; America;Costa Rica;17738,74;10643,25
2017;PC; America;Costa Rica;88693,71;75048,53
2017;Tablets; America;Costa Rica;15390,97;12373,13
2017;TV; America;Costa Rica;6717,50;4133,84
2017;Accesorios; Europa;Republica Checa;19938,29;16377,88
2017;Aplicaciones; Europa;Republica Checa;35235,21;22185,13
2017;Celulares; Europa;Republica Checa;109660,61;96448,49
2017;Musica; Europa;Republica Checa;48848,82;32004,40
2017;PC; Europa;Republica Checa;195395,27;152918,04
2017;Tablets; Europa;Republica Checa;34225,29;30051,47
2017;TV; Europa;Republica Checa;17277,72;11518,48
2017;Accesorios; Europa;Alemania;1026702,59;801450,26
2017;Aplicaciones; Europa;Alemania;1370898,01;743712,17
2017;Celulares; Europa;Alemania;4389389,04;3353851,54
2017;Musica; Europa;Alemania;2345310,81;1547905,13
2017;PC; Europa;Alemania;5695754,82;4192075,55
2017;Tablets; Europa;Alemania;1265723,29;1079029,11
2017;TV; Europa;Alemania;679607,11;329918,36
2017;Accesorios; America;Republica Dominicana;23398,27;22395,48
2017;Aplicaciones; America;Republica Dominicana;41568,35;26079,62
2017;Celulares; America;Republica Dominicana;96170,84;89948,02
2017;Musica; America;Republica Dominicana;49772,63;35725,69
2017;PC; America;Republica Dominicana;113481,59;92574,79
2017;Tablets; America;Republica Dominicana;36844,67;36402,54
2017;TV; America;Republica Dominicana;18757,29;12035,93
2017;Accesorios; africa;Argelia;98911,31;81087,09
2017;Aplicaciones; africa;Argelia;133149,84;93299,99
2017;Celulares; africa;Argelia;351598,79;299929,05
2017;Musica; africa;Argelia;152558,12;86542,06
2017;PC; africa;Argelia;661833,01;626108,26
2017;Tablets; africa;Argelia;133149,84;122117,42
2017;TV; africa;Argelia;69237,92;45164,42
2017;Accesorios; America;Ecuador;32386,54;27598,41
2017;Aplicaciones; America;Ecuador;57219,66;40462,47
2017;Celulares; America;Ecuador;192578,00;171246,28
2017;Musica; America;Ecuador;62621,52;43765,48
2017;PC; America;Ecuador;235654,66;213945,87
2017;Tablets; America;Ecuador;56676,44;55009,48
2017;TV; America;Ecuador;26972,52;16345,35
2017;Accesorios; africa;Egipto;197689,57;178744,32
2017;Aplicaciones; africa;Egipto;344791,91;229154,01
2017;Celulares; africa;Egipto;975268,53;874365,75
2017;Musica; africa;Egipto;386427,15;238940,79
2017;PC; africa;Egipto;1280039,95;1297327,09
2017;Tablets; africa;Egipto;298551,59;287182,51
2017;TV; africa;Egipto;159506,54;105028,92
2017;Accesorios; Europa;Espa¤a;92850,04;92720,48
2017;Aplicaciones; Europa;Espa¤a;155940,45;108438,59
2017;Celulares; Europa;Espa¤a;540593,54;500049,03
2017;Musica; Europa;Espa¤a;170713,75;94047,76
2017;PC; Europa;Espa¤a;501581,64;441584,76
2017;Tablets; Europa;Espa¤a;132932,84;129057,19
2017;TV; Europa;Espa¤a;74736,43;44841,86
2017;Accesorios; Europa;Finlandia;18661,79;19147,00
2017;Aplicaciones; Europa;Finlandia;33387,11;19437,10
2017;Celulares; Europa;Finlandia;61935,51;60298,13
2017;Musica; Europa;Finlandia;29472,76;18567,84
2017;PC; Europa;Finlandia;152626,79;129133,16
2017;Tablets; Europa;Finlandia;21475,13;18790,73
2017;TV; Europa;Finlandia;13545,32;8794,79
2017;Accesorios; Europa;Francia;150547,14;141077,24
2017;Aplicaciones; Europa;Francia;264215,28;157208,09
2017;Celulares; Europa;Francia;703001,37;691637,78
2017;Musica; Europa;Francia;285275,92;195783,81
2017;PC; Europa;Francia;874846,14;765888,03
2017;Tablets; Europa;Francia;208849,21;194096,46
2017;TV; Europa;Francia;103464,06;72424,85
2017;Accesorios; Europa;Reino Unido;145897,28;142909,23
2017;Aplicaciones; Europa;Reino Unido;236644,38;166503,79
2017;Celulares; Europa;Reino Unido;533825,69;461686,62
2017;Musica; Europa;Reino Unido;234229,64;136969,53
2017;PC; Europa;Reino Unido;1059438,68;1046330,00
2017;Tablets; Europa;Reino Unido;182661,84;160791,28
2017;TV; Europa;Reino Unido;97402,42;56337,24
2017;Accesorios; Europa;Grecia;33644,90;30646,13
2017;Aplicaciones; Europa;Grecia;55542,60;40855,03
2017;Celulares; Europa;Grecia;126038,98;115692,67
2017;Musica; Europa;Grecia;68271,12;52011,29
2017;PC; Europa;Grecia;273084,47;265926,01
2017;Tablets; Europa;Grecia;41376,43;42016,39
2017;TV; Europa;Grecia;20793,23;12027,94
2017;Accesorios; America;Guatemala;40241,16;43044,35
2017;Aplicaciones; America;Guatemala;63553,29;45749,19
2017;Celulares; America;Guatemala;141772,72;138207,48
2017;Musica; America;Guatemala;77438,88;55270,71
2017;PC; America;Guatemala;209436,97;213751,37
2017;Tablets; America;Guatemala;53576,90;50368,98
2017;TV; America;Guatemala;28224,28;21947,20
2017;Accesorios; Europa;Hungria;19855,02;20187,28
2017;Aplicaciones; Europa;Hungria;32569,75;23867,96
2017;Celulares; Europa;Hungria;76478,60;71818,67
2017;Musica; Europa;Hungria;38098,20;25116,98
2017;PC; Europa;Hungria;125909,89;121896,77
2017;Tablets; Europa;Hungria;30912,01;29476,42
2017;TV; Europa;Hungria;15596,09;10085,85
2017;Accesorios; Asia;Indonesia;535072,66;555477,74
2017;Aplicaciones; Asia;Indonesia;834234,68;506365,29
2017;Celulares; Asia;Indonesia;2194247,53;2139830,19
2017;Musica; Asia;Indonesia;1231676,68;731391,03
2017;PC; Asia;Indonesia;4662776,00;4640085,57
2017;Tablets; Asia;Indonesia;786492,34;759692,61
2017;TV; Asia;Indonesia;358675,08;252352,75
2017;Accesorios; Asia;India;1216075,73;1074671,58
2017;Aplicaciones; Asia;India;2383508,44;1466774,42
2017;Celulares; Asia;India;4619202,40;4147855,21
2017;Musica; Asia;India;2327644,96;1432396,90
2017;PC; Asia;India;11034761,28;10852155,55
2017;Tablets; Asia;India;1664461,20;1433286,03
2017;TV; Asia;India;877580,43;574966,49
2017;Accesorios; Europa;Irlanda;9492,26;8401,20
2017;Aplicaciones; Europa;Irlanda;18438,21;12080,20
2017;Celulares; Europa;Irlanda;51258,21;44423,78
2017;Musica; Europa;Irlanda;18176,67;9914,55
2017;PC; Europa;Irlanda;51775,97;45138,02
2017;Tablets; Europa;Irlanda;14479,72;12735,18
2017;TV; Europa;Irlanda;7708,00;4204,36
2017;Accesorios; Asia;Iran;169782,23;152096,59
2017;Aplicaciones; Asia;Iran;299035,81;169020,24
2017;Celulares; Asia;Iran;671747,10;547349,49
2017;Musica; Asia;Iran;383062,40;216513,53
2017;PC; Asia;Iran;1571205,08;1524804,45
2017;Tablets; Asia;Iran;260396,35;232986,21
2017;TV; Asia;Iran;119768,86;65328,47
2017;Accesorios; Asia;Israel;21769,31;18141,09
2017;Aplicaciones; Asia;Israel;30777,30;16787,62
2017;Celulares; Asia;Israel;70632,79;58241,07
2017;Musica; Asia;Israel;43830,17;23907,37
2017;PC; Asia;Israel;140256,54;125797,11
2017;Tablets; Asia;Israel;30971,48;27327,77
2017;TV; Asia;Israel;12427,79;7456,68
2017;Accesorios; Europa;Italia;129895,36;103916,29
2017;Aplicaciones; Europa;Italia;203331,64;125127,16
2017;Celulares; Europa;Italia;704169,57;633041,33
2017;Musica; Europa;Italia;245040,69;154284,88
2017;PC; Europa;Italia;815806,21;724142,59
2017;Tablets; Europa;Italia;215793,90;193996,54
2017;TV; Europa;Italia;89553,02;48847,10
2017;Accesorios; Asia;Japon;282210,02;252187,68
2017;Aplicaciones; Asia;Japon;370246,39;201952,58
2017;Celulares; Asia;Japon;933783,17;839461,64
2017;Musica; Asia;Japon;531357,79;309958,71
2017;PC; Asia;Japon;1443119,44;1271319,51
2017;Tablets; Asia;Japon;341383,09;302143,66
2017;TV; Asia;Japon;165357,44;93462,90
2017;Accesorios; africa;Kenia;112380,94;99491,81
2017;Aplicaciones; africa;Kenia;171965,46;97551,32
2017;Celulares; africa;Kenia;416631,76;356451,62
2017;Musica; africa;Kenia;174305,13;98878,54
2017;PC; africa;Kenia;582337,58;498180,41
2017;Tablets; africa;Kenia;161658,38;131260,27
2017;TV; africa;Kenia;81993,13;46065,23
2017;Accesorios; Asia;Republica de Corea;103534,94;82647,89
2017;Aplicaciones; Asia;Republica de Corea;222744,48;144624,81
2017;Celulares; Asia;Republica de Corea;375227,28;338662,58
2017;Musica; Asia;Republica de Corea;188881,30;126224,81
2017;PC; Asia;Republica de Corea;755525,20;674306,24
2017;Tablets; Asia;Republica de Corea;163476,21;152305,34
2017;TV; Asia;Republica de Corea;74051,48;42273,73
2017;Accesorios; America;Mexico;282169,08;248386,09
2017;Aplicaciones; America;Mexico;398563,82;253457,07
2017;Celulares; America;Mexico;1054053,08;941818,70
2017;Musica; America;Mexico;518457,00;346472,30
2017;PC; America;Mexico;2198972,81;1767704,88
2017;Tablets; America;Mexico;356258,16;320632,35
2017;TV; America;Mexico;179381,75;119876,49
2017;Accesorios; Asia;Malasia;65244,02;58904,88
2017;Aplicaciones; Asia;Malasia;106623,62;72504,06
2017;Celulares; Asia;Malasia;264781,99;235967,48
2017;Musica; Asia;Malasia;154994,34;104362,85
2017;PC; Asia;Malasia;496466,23;438308,76
2017;Tablets; Asia;Malasia;84730,24;67219,32
2017;TV; Asia;Malasia;41372,19;28190,15
2017;Accesorios; africa;Nigeria;359747,85;310490,07
2017;Aplicaciones; africa;Nigeria;643562,77;403959,40
2017;Celulares; africa;Nigeria;1706326,97;1511446,47
2017;Musica; africa;Nigeria;634776,93;384674,82
2017;PC; africa;Nigeria;3444252,59;3002161,54
2017;Tablets; africa;Nigeria;535993,20;470531,73
2017;TV; africa;Nigeria;296634,19;186195,00
2017;Accesorios; Europa;Noruega;11568,62;10407,37
2017;Aplicaciones; Europa;Noruega;21298,82;13829,02
2017;Celulares; Europa;Noruega;45414,02;37959,85
2017;Musica; Europa;Noruega;18627,44;10739,13
2017;PC; Europa;Noruega;65417,81;59464,79
2017;Tablets; Europa;Noruega;16403,27;13895,52
2017;TV; Europa;Noruega;9143,25;5595,67
2017;Accesorios; America;Peru;82855,93;67113,30
2017;Aplicaciones; America;Peru;115343,51;73227,22
2017;Celulares; America;Peru;364884,77;279435,39
2017;Musica; America;Peru;178159,70;122288,82
2017;PC; America;Peru;492831,38;425806,31
2017;Tablets; America;Peru;101737,31;79784,50
2017;TV; America;Peru;62517,32;36938,01
2017;Accesorios; Asia;Filipinas;222194,03;200950,11
2017;Aplicaciones; Asia;Filipinas;405177,34;255261,72
2017;Celulares; Asia;Filipinas;776843,77;727125,77
2017;Musica; Asia;Filipinas;416613,80;250315,46
2017;PC; Asia;Filipinas;1435003,08;1314736,16
2017;Tablets; Asia;Filipinas;304779,42;280991,75
2017;TV; Asia;Filipinas;139810,86;84003,02
2017;Accesorios; Europa;Polonia;77344,86;71060,59
2017;Aplicaciones; Europa;Polonia;127691,99;73132,68
2017;Celulares; Europa;Polonia;406060,52;376400,45
2017;Musica; Europa;Polonia;173530,14;118000,49
2017;PC; Europa;Polonia;812121,04;747524,75
2017;Tablets; Europa;Polonia;101515,13;82313,65
2017;TV; Europa;Polonia;51727,45;31381,32
2017;Accesorios; Europa;Portugal;20399,98;18141,20
2017;Aplicaciones; Europa;Portugal;31046,04;17272,89
2017;Celulares; Europa;Portugal;109781,35;96921,25
2017;Musica; Europa;Portugal;50468,20;33365,09
2017;PC; Europa;Portugal;112092,54;103765,66
2017;Tablets; Europa;Portugal;31598,79;28115,40
2017;TV; Europa;Portugal;15344,08;9398,25
2017;Accesorios; Asia;Rusia;315847,69;261391,19
2017;Aplicaciones; Asia;Rusia;561643,56;374429,04
2017;Celulares; Asia;Rusia;1233695,69;1205185,72
2017;Musica; Asia;Rusia;584382,17;367944,33
2017;PC; Asia;Rusia;2624407,20;2677655,70
2017;Tablets; Asia;Rusia;412406,85;342507,38
2017;TV; Asia;Rusia;221724,11;145267,52
2017;Accesorios; africa;Sudan;86313,84;63872,24
2017;Aplicaciones; africa;Sudan;136596,36;85600,38
2017;Celulares; africa;Sudan;356483,17;266603,90
2017;Musica; africa;Sudan;175389,72;109164,98
2017;PC; africa;Sudan;859753,53;646534,65
2017;Tablets; africa;Sudan;128584,84;107255,66
2017;TV; africa;Sudan;64671,73;36188,05
2017;Accesorios; Europa;Eslovaquia;17514,85;15709,19
2017;Aplicaciones; Europa;Eslovaquia;27270,68;17531,15
2017;Celulares; Europa;Eslovaquia;93023,31;79734,27
2017;Musica; Europa;Eslovaquia;33354,97;18852,81
2017;PC; Europa;Eslovaquia;87209,35;71353,11
2017;Tablets; Europa;Eslovaquia;22031,84;19013,78
2017;TV; Europa;Eslovaquia;11044,98;6954,25
2017;Accesorios; Europa;Suecia;19522,43;16213,54
2017;Aplicaciones; Europa;Suecia;31527,26;18916,36
2017;Celulares; Europa;Suecia;78234,32;70084,91
2017;Musica; Europa;Suecia;50534,13;33108,57
2017;PC; Europa;Suecia;157636,31;140313,64
2017;Tablets; Europa;Suecia;28544,95;24467,10
2017;TV; Europa;Suecia;13235,13;7480,73
2017;Accesorios; Asia;Tailandia;160307,31;130620,77
2017;Aplicaciones; Asia;Tailandia;233174,27;149897,74
2017;Celulares; Asia;Tailandia;685451,95;545563,80
2017;Musica; Asia;Tailandia;295585,23;190019,07
2017;PC; Asia;Tailandia;935440,31;774157,49
2017;Tablets; Asia;Tailandia;213743,08;185244,00
2017;TV; Asia;Tailandia;105175,17;70116,78
2017;Accesorios; Asia;Turquia;178934,38;157113,12
2017;Aplicaciones; Asia;Turquia;306176,61;188416,38
2017;Celulares; Asia;Turquia;725155,13;632186,52
2017;Musica; Asia;Turquia;338801,99;197634,49
2017;PC; Asia;Turquia;1102235,80;857294,51
2017;Tablets; Asia;Turquia;222224,96;193364,58
2017;TV; Asia;Turquia;106943,97;70066,74
2017;Accesorios; africa;Tanzania;117215,84;96284,44
2017;Aplicaciones; africa;Tanzania;178237,03;118824,69
2017;Celulares; africa;Tanzania;415072,53;373146,02
2017;Musica; africa;Tanzania;208249,45;128153,51
2017;PC; africa;Tanzania;1188246,86;1054735,98
2017;Tablets; africa;Tanzania;156590,67;133562,63
2017;TV; africa;Tanzania;89381,40;56277,18
2017;Accesorios; Europa;Ucrania;107692,37;88798,97
2017;Aplicaciones; Europa;Ucrania;145094,51;91355,80
2017;Celulares; Europa;Ucrania;367133,08;295146,20
2017;Musica; Europa;Ucrania;190793,57;122653,01
2017;PC; Europa;Ucrania;515548,59;420076,62
2017;Tablets; Europa;Ucrania;127195,71;99544,47
2017;TV; Europa;Ucrania;64272,64;35057,80
2017;Accesorios; America;Estados Unidos;3255574,45;2681523,88
2017;Aplicaciones; America;Estados Unidos;4676887,17;2684126,55
2017;Celulares; America;Estados Unidos;14817427,61;12231658,53
2017;Musica; America;Estados Unidos;6291526,79;3610789,29
2017;PC; America;Estados Unidos;21718695,25;16700991,58
2017;Tablets; America;Estados Unidos;4441077,75;3344160,30
2017;TV; America;Estados Unidos;2301109,94;1283952,65
2017;Accesorios; America;Venezuela;72718,29;64547,69
2017;Aplicaciones; America;Venezuela;119363,24;73454,30
2017;Celulares; America;Venezuela;332902,98;258924,54
2017;Musica; America;Venezuela;149943,90;98239,11
2017;PC; America;Venezuela;471252,27;390001,88
2017;Tablets; America;Venezuela;90716,06;78289,20
2017;TV; America;Venezuela;49981,30;30757,72
2017;Accesorios; Asia;Yemen;64569,91;56973,45
2017;Aplicaciones; Asia;Yemen;95083,13;58512,69
2017;Celulares; Asia;Yemen;221186,28;197402,81
2017;Musica; Asia;Yemen;142407,60;91547,74
2017;PC; Asia;Yemen;328287,00;268598,45
2017;Tablets; Asia;Yemen;102928,27;92093,71
2017;TV; Asia;Yemen;42374,00;24718,17
2017;Accesorios; africa;Sudafrica;138475,19;110384,51
2017;Aplicaciones; africa;Sudafrica;213802,08;131672,59
2017;Celulares; africa;Sudafrica;525097,91;458410,48
2017;Musica; africa;Sudafrica;320181,65;193481,20
2017;PC; africa;Sudafrica;669767,74;540925,58
2017;Tablets; africa;Sudafrica;199505,29;165190,38
2017;TV; africa;Sudafrica;104020,98;54090,91
2017;Accesorios; Oceania;Nueva Zelanda;10220,62;8451,95
2017;Aplicaciones; Oceania;Nueva Zelanda;17393,49;9401,11
2017;Celulares; Oceania;Nueva Zelanda;48761,25;40748,77
2017;Musica; Oceania;Nueva Zelanda;21122,22;14180,97
2017;PC; Oceania;Nueva Zelanda;62011,58;55047,02
2017;Tablets; Oceania;Nueva Zelanda;17603,08;15423,33
2017;TV; Oceania;Nueva Zelanda;6731,77;4394,15
2018;Accesorios; africa;Angola;68775,99;58510,92
2018;Aplicaciones; africa;Angola;97432,65;62635,28
2018;Celulares; africa;Angola;210454,53;188979,57
2018;Musica; africa;Angola;148207,41;91204,56
2018;PC; africa;Angola;444622,24;353883,01
2018;Tablets; africa;Angola;79118,24;68426,59
2018;TV; africa;Angola;44213,14;28967,23
2018;Accesorios; America;Argentina;88128,95;74776,08
2018;Aplicaciones; America;Argentina;171379,92;105464,57
2018;Celulares; America;Argentina;464439,59;404122,76
2018;Musica; America;Argentina;178630,61;114833,96
2018;PC; America;Argentina;844435,62;710398,22
2018;Tablets; America;Argentina;140739,27;126523,18
2018;TV; America;Argentina;65971,53;40597,87
2018;Accesorios; Oceania;Australia;52868,74;42049,09
2018;Aplicaciones; Oceania;Australia;89205,77;50549,94
2018;Celulares; Oceania;Australia;205810,45;152152,73
2018;Musica; Oceania;Australia;112552,59;59090,11
2018;PC; Oceania;Australia;364727,38;283895,91
2018;Tablets; Oceania;Australia;84496,96;67957,13
2018;TV; Oceania;Australia;43328,52;23997,33
2018;Accesorios; Europa;Austria;18579,97;15630,77
2018;Aplicaciones; Europa;Austria;38533,55;24771,57
2018;Celulares; Europa;Austria;89217,32;77321,67
2018;Musica; Europa;Austria;43245,07;28830,05
2018;PC; Europa;Austria;101052,27;83629,46
2018;Tablets; Europa;Austria;27739,84;24587,58
2018;TV; Europa;Austria;14436,04;7874,20
2018;Accesorios; Europa;Belgica;31525,61;26599,73
2018;Aplicaciones; Europa;Belgica;49797,20;31353,80
2018;Celulares; Europa;Belgica;127557,45;99211,35
2018;Musica; Europa;Belgica;69382,72;39216,32
2018;PC; Europa;Belgica;267459,18;233603,59
2018;Tablets; Europa;Belgica;41980,93;36666,89
2018;TV; Europa;Belgica;21676,43;13934,85
2018;Accesorios; America;Brasil;443702,70;392109,37
2018;Aplicaciones; America;Brasil;644884,67;429923,12
2018;Celulares; America;Brasil;2232826,51;1819340,12
2018;Musica; America;Brasil;786563,88;471938,33
2018;PC; America;Brasil;2696790,45;2223669,32
2018;Tablets; America;Brasil;532443,24;478112,30
2018;TV; America;Brasil;317027,27;203803,25
2018;Accesorios; America;Canada;1025815,26;894300,49
2018;Aplicaciones; America;Canada;1976479,22;1185887,53
2018;Celulares; America;Canada;5679777,14;5034347,92
2018;Musica; America;Canada;2020894,49;1324034,32
2018;PC; America;Canada;6580229,61;5757700,91
2018;Tablets; America;Canada;1573116,12;1371434,56
2018;TV; America;Canada;698936,31;381237,98
2018;Accesorios; Europa;Suiza;18974,75;17058,11
2018;Aplicaciones; Europa;Suiza;34850,03;21446,17
2018;Celulares; Europa;Suiza;84925,81;76079,37
2018;Musica; Europa;Suiza;39760,72;26507,15
2018;PC; Europa;Suiza;105389,86;82966,48
2018;Tablets; Europa;Suiza;21868,40;19438,57
2018;TV; Europa;Suiza;12425,22;7646,29
2018;Accesorios; America;Chile;47351,90;41577,28
2018;Aplicaciones; America;Chile;91559,33;57648,47
2018;Celulares; America;Chile;162772,15;144686,35
2018;Musica; America;Chile;99318,60;66212,40
2018;PC; America;Chile;411213,84;340314,90
2018;Tablets; America;Chile;76349,15;66805,51
2018;TV; America;Chile;29973,39;18872,13
2018;Accesorios; Asia;China;2447334,38;2168185,30
2018;Aplicaciones; Asia;China;4963194,11;3126812,29
2018;Celulares; Asia;China;10170479,74;9554898,08
2018;Musica; Asia;China;6112308,01;4278615,60
2018;PC; Asia;China;18247037,18;15798092,71
2018;Tablets; Asia;China;3515010,00;3114079,17
2018;TV; Asia;China;1584672,45;1069653,90
2018;Accesorios; africa;Camerun;53875,42;45043,38
2018;Aplicaciones; africa;Camerun;79954,24;53302,83
2018;Celulares; africa;Camerun;303123,22;258546,28
2018;Musica; africa;Camerun;101786,76;55520,05
2018;PC; africa;Camerun;475589,88;410440,58
2018;Tablets; africa;Camerun;75989,57;59103,00
2018;TV; africa;Camerun;37225,66;22335,40
2018;Accesorios; America;Colombia;106664,49;94115,73
2018;Aplicaciones; America;Colombia;177546,97;109259,67
2018;Celulares; America;Colombia;604045,66;472731,39
2018;Musica; America;Colombia;229637,19;125256,65
2018;PC; America;Colombia;677709,77;568401,74
2018;Tablets; America;Colombia;162018,08;144963,54
2018;TV; America;Colombia;73025,23;42598,05
2018;Accesorios; America;Costa Rica;9601,70;7467,99
2018;Aplicaciones; America;Costa Rica;15574,19;8495,01
2018;Celulares; America;Costa Rica;47143,50;42128,24
2018;Musica; America;Costa Rica;21358,89;12072,42
2018;PC; America;Costa Rica;61563,87;54234,84
2018;Tablets; America;Costa Rica;14658,06;12802,61
2018;TV; America;Costa Rica;7061,98;4119,49
2018;Accesorios; Europa;Republica Checa;19575,12;15410,20
2018;Aplicaciones; Europa;Republica Checa;35942,27;20315,20
2018;Celulares; Europa;Republica Checa;87371,87;76970,46
2018;Musica; Europa;Republica Checa;52680,10;32418,52
2018;PC; Europa;Republica Checa;202768,68;179190,93
2018;Tablets; Europa;Republica Checa;30530,51;27021,26
2018;TV; Europa;Republica Checa;14029,69;9191,86
2018;Accesorios; Europa;Alemania;1348994,56;1117632,76
2018;Aplicaciones; Europa;Alemania;2792471,24;1723353,68
2018;Celulares; Europa;Alemania;5741320,86;4582994,58
2018;Musica; Europa;Alemania;2749674,74;1451828,26
2018;PC; Europa;Alemania;11213517,30;9062352,76
2018;Tablets; Europa;Alemania;2256808,51;1877902,24
2018;TV; Europa;Alemania;1060066,63;661027,26
2018;Accesorios; America;Republica Dominicana;21781,50;20583,51
2018;Aplicaciones; America;Republica Dominicana;37207,08;22730,14
2018;Celulares; America;Republica Dominicana;81058,28;75526,41
2018;Musica; America;Republica Dominicana;38468,34;24004,24
2018;PC; America;Republica Dominicana;180129,51;168942,52
2018;Tablets; America;Republica Dominicana;29097,84;26401,84
2018;TV; America;Republica Dominicana;15761,33;9977,61
2018;Accesorios; africa;Argelia;82729,13;72498,68
2018;Aplicaciones; africa;Argelia;153077,02;91080,83
2018;Celulares; africa;Argelia;405447,25;329998,81
2018;Musica; africa;Argelia;166068,80;99779,67
2018;PC; africa;Argelia;725881,37;683600,65
2018;Tablets; africa;Argelia;143326,89;140284,85
2018;TV; africa;Argelia;71663,45;46867,89
2018;Accesorios; America;Ecuador;33601,79;33605,65
2018;Aplicaciones; America;Ecuador;56856,36;38137,50
2018;Celulares; America;Ecuador;182752,59;182364,93
2018;Musica; America;Ecuador;86104,59;54245,89
2018;PC; America;Ecuador;284281,81;264430,27
2018;Tablets; America;Ecuador;52831,13;52876,10
2018;TV; America;Ecuador;29216,56;19107,63
2018;Accesorios; africa;Egipto;198841,16;192591,86
2018;Aplicaciones; africa;Egipto;340209,95;222497,31
2018;Celulares; africa;Egipto;706228,94;644499,30
